Month,Year,Phase,Loan Disbursed This Month (Rs.),Total Loan Disbursed (Rs.),Interest (Rs.),Principal (Rs.),Pre-EMI Interest Payment (Rs.),EMI (Rs.),Prepayment (Rs.),Outstanding Loan Balance (Rs.),% of Property Value Paid to Godrej
Jul,2026,Full EMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Aug,2026,Full EMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Sep,2026,Full EMI,1342524.35,1342524.35,0.0,0.0,0.0,0.0,0.0,1342524.35,20.0
Oct,2026,Full EMI,0.0,1342524.35,8111.08,2559.88,0.0,10670.96,50000.0,1289964.47,20.0
Nov,2026,Full EMI,0.0,1342524.35,7793.54,2877.43,0.0,10670.96,50000.0,1237087.04,20.0
Dec,2026,Full EMI,0.0,1342524.35,7474.07,3196.89,0.0,10670.96,50000.0,1183890.15,20.0
Jan,2027,Full EMI,0.0,1342524.35,7152.67,3518.29,0.0,10670.96,50000.0,1130371.86,20.0
Feb,2027,Full EMI,0.0,1342524.35,6829.33,3841.63,0.0,10670.96,50000.0,1076530.23,20.0
Mar,2027,Full EMI,0.0,1342524.35,6504.04,4166.93,0.0,10670.96,50000.0,1022363.3,20.0
Apr,2027,Full EMI,0.0,1342524.35,6176.78,4494.18,0.0,10670.96,50000.0,967869.12,20.0
May,2027,Full EMI,0.0,1342524.35,5847.54,4823.42,0.0,10670.96,50000.0,913045.7,20.0
Jun,2027,Full EMI,0.0,1342524.35,5516.32,5154.64,0.0,10670.96,50000.0,857891.05,20.0
Jul,2027,Full EMI,0.0,1342524.35,5183.09,5487.87,0.0,10670.96,50000.0,802403.18,20.0
Aug,2027,Full EMI,0.0,1342524.35,4847.85,5823.11,0.0,10670.96,50000.0,746580.07,20.0
Sep,2027,Full EMI,1342524.35,2685048.7,4510.59,6160.37,0.0,10670.96,50000.0,2032944.05,30.0
Oct,2027,Full EMI,0.0,2685048.7,12282.37,4267.87,0.0,16550.24,50000.0,1978676.17,30.0
Nov,2027,Full EMI,0.0,2685048.7,11954.5,4595.74,0.0,16550.24,50000.0,1924080.43,30.0
Dec,2027,Full EMI,671262.17,3356310.87,11624.65,4925.59,0.0,16550.24,50000.0,2540417.01,35.0
Jan,2028,Full EMI,0.0,3356310.87,15348.35,5465.12,0.0,20813.47,50000.0,2484951.89,35.0
Feb,2028,Full EMI,0.0,3356310.87,15013.25,5800.22,0.0,20813.47,50000.0,2429151.67,35.0
Mar,2028,Full EMI,0.0,3356310.87,14676.12,6137.35,0.0,20813.47,50000.0,2373014.33,35.0
Apr,2028,Full EMI,0.0,3356310.87,14336.96,6476.51,0.0,20813.47,50000.0,2316537.82,35.0
May,2028,Full EMI,0.0,3356310.87,13995.75,6817.72,0.0,20813.47,50000.0,2259720.09,35.0
Jun,2028,Full EMI,0.0,3356310.87,13652.48,7161.0,0.0,20813.47,50000.0,2202559.1,35.0
Jul,2028,Full EMI,671262.17,4027573.04,13307.13,7506.34,0.0,20813.47,50000.0,2816314.93,40.0
Aug,2028,Full EMI,0.0,4027573.04,17015.24,6417.99,0.0,23433.22,50000.0,2759896.94,40.0
Sep,2028,Full EMI,671262.17,4698835.22,16674.38,6758.85,0.0,23433.22,50000.0,3374400.27,45.0
Oct,2028,Full EMI,0.0,4698835.22,20387.0,7818.73,0.0,28205.73,50000.0,3316581.54,45.0
Nov,2028,Full EMI,0.0,4698835.22,20037.68,8168.05,0.0,28205.73,50000.0,3258413.49,45.0
Dec,2028,Full EMI,671262.17,5370097.39,19686.25,8519.48,0.0,28205.73,50000.0,3871156.18,50.0
Jan,2029,Full EMI,0.0,5370097.39,23388.24,9197.63,0.0,32585.87,50000.0,3811958.55,50.0
Feb,2029,Full EMI,0.0,5370097.39,23030.58,9555.28,0.0,32585.87,50000.0,3752403.26,50.0
Mar,2029,Full EMI,671262.17,6041359.57,22670.77,9915.1,0.0,32585.87,50000.0,4363750.34,55.0
Apr,2029,Full EMI,0.0,6041359.57,26364.32,10633.31,0.0,36997.64,50000.0,4303117.03,55.0
May,2029,Full EMI,0.0,6041359.57,25998.0,10999.64,0.0,36997.64,50000.0,4242117.39,55.0
Jun,2029,Full EMI,671262.17,6712621.74,25629.46,11368.18,0.0,36997.64,50000.0,4852011.38,60.0
Jul,2029,Full EMI,0.0,6712621.74,29314.24,12127.86,0.0,41442.1,50000.0,4789883.52,60.0
Aug,2029,Full EMI,671262.17,7383883.91,28938.88,12503.22,0.0,41442.1,50000.0,5398642.48,65.0
Sep,2029,Full EMI,0.0,7383883.91,32616.8,13726.57,0.0,46343.37,50000.0,5334915.9,65.0
Oct,2029,Full EMI,671262.17,8055146.09,32231.78,14111.59,0.0,46343.37,50000.0,5942066.49,70.0
