Year,Interest Paid,Principal Paid,Outstanding Loan,Bank Disbursement,Customer Contribution
2026,23378.69,158634.2,1183890.15,1342524.35,1342524.35
2027,88429.73,657259.64,2540417.01,2013786.52,0.0
2028,194130.59,683047.36,3871156.18,2013786.5100000002,0.0
2029,341588.1,745272.89,5810931.98,2685048.68,0.0
2030,443027.26,821604.87,6331851.45,1342524.35,0.0
2031,551513.15,899545.76,8117354.39,2685048.7,0.0
2032,556237.06,984010.4099999999,7133343.99,0.0,0.0
2033,482477.3,1057770.1400000001,6075573.84,0.0,0.0
2034,403188.64,1137058.79,4938515.05,0.0,0.0
2035,317956.67,1222290.79,3716224.26,0.0,0.0
2036,226335.84,1313911.65,2402312.63,0.0,0.0
2037,127847.24,1412400.19,989912.43,0.0,0.0
2038,26892.260000000002,989912.44,0.0,0.0,0.0
